d_type,species,municipality,date,rot,lat,long,mean_temp_3m,mean_temp_1y,mean_temp_5y,min_temp,max_temp,humidity,soil_humidity,climate_risk_factor
"Skader i ved (misfarging, råte), Ukjent/kompleks årsak av klimatisk art",furu,Molde,21.08.1987,Yes,62.733333,7.183333,,,,,,,,
Storm,dun-/vanlig bjørk,Seljord,29.07.2022,No,59.513333,8.648889,1.903563596491231,1.903563596491231,1.903563596491231,-0.2923894795747065,4.805986013986006,,,
Snø,dun-/vanlig bjørk,Seljord,13.06.2020,No,59.513333,8.648889,1.7085217870932177,1.7085217870932177,1.7085217870932177,-0.5774314574314567,4.484939411425292,,,
Snø,gran,Lier,19.08.2020,No,59.8675,10.214167,5.682008368200836,5.682008368200836,5.682008368200836,,,,,
Almesjukesopp,alm,Bærum,19.08.1993,No,59.8904,10.526,6.903315068493165,6.903315068493165,6.903315068493165,3.5846575342465847,10.926794520547984,70.68767123287671,,
Storm,gran,Kragerø,28.08.2021,No,58.886944,9.346944,6.5088749126485,6.5088749126485,6.5088749126485,,,,,
Storm,gråor,Fjord,09.08.2019,No,62.30369,7.2578,4.53158388003749,4.53158388003749,4.53158388003749,,,,,
Snø,gran,Ringerike,06.08.2018,No,60.205281,10.1525,4.562500000000001,4.562500000000001,4.562500000000001,,,,,
Honningsopper,rogn,Frogn,18.09.2006,Yes,59.698889,10.655278,,,,,,,,
Snø,bartrær,Kongsberg,08.02.2021,No,59.665,9.646389,6.075850622406636,6.075850622406636,6.075850622406636,,,,,
Hjortedyr,furu,Trysil,25.05.2021,No,61.31,12.315,0.2943425877422727,0.2943425877422727,0.2943425877422727,-2.2430570505920318,2.71996770721205,84.34659685863875,,
Almesjukesopp,alm,Bærum,26.07.1994,No,59.8904,10.526,6.532246575342452,6.532246575342452,6.532246575342452,3.18827397260274,10.566794520547948,71.92109589041095,,
Snø,gran,Skien,16.09.2018,No,59.208061,9.552781,7.310436693216152,7.310436693216152,7.310436693216152,2.756216216216214,11.359220261809876,74.09643835616438,,
"Honningsopper, Tørke",gran,Kongsvinger,17.09.1975,Yes,60.19117,11.99916,,,,,,,,
Snø,furu,Rendalen,05.08.2016,No,61.859444,11.176111,-0.6812903225806438,-0.6812903225806438,-0.6812903225806438,,,,,
Heggspinnmøll,hegg,Sunnfjord,07.06.2024,No,61.4522,5.8572,6.3780952380952405,6.3780952380952405,6.3780952380952405,,,,,
Målere,dun-/vanlig bjørk,Kautokeino,24.08.2021,No,69.01151,23.04148,-1.0405479452054864,-1.0405479452054864,-1.0405479452054864,-5.773479452054806,3.826849315068501,77.2854794520548,,
Snø,dun-/vanlig bjørk,Fyresdal,14.06.2023,No,59.165833,8.019722,3.063280060882802,3.063280060882802,3.063280060882802,,,,,
Målere,dun-/vanlig bjørk,Nore og Uvdal,19.06.2018,No,60.307222,8.805556,1.733296793642092,1.733296793642092,1.733296793642092,-3.894212835984637,6.887383433900168,75.6213698630137,,
Rotsnutebiller,gran,Midt-Telemark,06.11.2014,No,59.45,9.1,3.776113360323884,3.776113360323884,3.776113360323884,0.3360730593607313,4.820700152207002,,,
Vanlig granbarrust,gran,Midt-Telemark,25.08.2014,No,59.45,9.1,3.567259786476868,3.567259786476868,3.567259786476868,-0.3731617647058815,4.176838235294118,,,
Eikemjøldoggsopp,"eik, ukjent art",Horten,22.06.2014,No,59.420831,10.432781,0.2585987261146499,0.2585987261146499,0.2585987261146499,,,,,
Storm,dun-/vanlig bjørk,Vestre Slidre,27.08.2019,No,61.060556,8.917222,6.200478468899513,6.200478468899513,6.200478468899513,,,,,
"Furustokkjuke, Nåle- eller bladtap",furu,Vennesla,21.10.1986,Yes,58.310556,7.856944,,,,,,,,
Storm,gråor,Snåase - Snåsa,12.09.2022,No,64.24606,12.38298,4.471287671232877,4.471287671232877,4.471287671232877,-0.040148596587782,8.60558613098514,78.20219178082192,,
Snø,dun-/vanlig bjørk,Ål,11.05.2022,No,60.675556,8.576944,3.589272943980931,3.589272943980931,3.589272943980931,,,,,
Heggspinnmøll,hegg,Porsgrunn,05.06.2024,No,59.1419,9.6568,7.340010961907376,7.340010961907376,7.340010961907376,3.055482954545453,12.35019886363636,77.12931506849316,,
Barkbiller,,Notodden,06.07.2021,No,59.559328,9.259292,1.8239857456140407,1.8239857456140407,1.8239857456140407,-0.350195858981533,4.711888111888127,,,
Målere,dun-/vanlig bjørk,Porsanger,27.07.2022,No,70.05214,24.95594,2.0522060838585903,2.0522060838585903,2.0522060838585903,-1.624221357063414,5.830970252988595,75.14465753424658,,
Heggspinnmøll,hegg,Bergen,25.05.2024,No,60.3925,5.323333,7.449694749694745,7.449694749694745,7.449694749694745,,,,,
Storm,dun-/vanlig bjørk,Kvænangen,06.09.2023,No,69.894167,21.980278,2.2912954078135703,2.2912954078135703,2.2912954078135703,,,,,
Snø,dun-/vanlig bjørk,Overhalla,02.08.2018,No,64.507778,11.893889,5.246139049189339,5.246139049189339,5.246139049189339,1.5965148960089943,8.98760539629006,75.56438356164384,,
Frost,gråor,Namsskogan,06.06.2022,No,64.871944,12.976389,4.018393640350873,4.018393640350873,4.018393640350873,-0.3440789473684209,8.226206140350877,78.38849315068494,,
"Abiotiske skader, Ospeildkjuke",osp,Lødingen,17.08.1977,Yes,68.404167,15.571389,,,,,,,,
Storm,selje,Målselv,18.08.2020,No,68.975,19.064444,2.300851063829787,2.300851063829787,2.300851063829787,,,,,
Heggspinnmøll,hegg,Bærum,05.06.2024,No,59.8904,10.526,7.604383561643843,7.604383561643843,7.604383561643843,4.001068493150678,11.530821917808185,74.22849315068493,,
Storm,gran,Eidsvoll,12.09.2023,No,60.3475,11.250833,6.053260273972616,6.053260273972616,6.053260273972616,1.3511061327359315,10.558802127064084,80.67123287671232,,
Tyritoppsopp,furu,Nore og Uvdal,27.06.2013,Yes,60.307222,8.805556,0.0956390565002745,0.0956390565002745,0.0956390565002745,-5.305517762660623,5.58201058201058,77.11561643835617,,
Honningsopper,gran,Saltdal,29.10.2002,Yes,66.92,15.56,3.0040520984081063,3.0040520984081063,3.0040520984081063,-0.7300998573466504,7.503851640513554,75.46362339514978,,
Snø,gran,Kvinesdal,18.06.2021,No,58.338056,7.023056,5.117569193742481,5.117569193742481,5.117569193742481,,,,,
Målere,dun-/vanlig bjørk,Tromsø,28.07.2020,No,69.64961,18.95701,3.202900976290107,3.202900976290107,3.202900976290107,-0.5317876932050153,6.543640606767805,,,
Snø,dun-/vanlig bjørk,Vinje,26.07.2023,No,59.801389,7.779167,0.0379281995067134,0.0379281995067134,0.0379281995067134,-1.766145679740484,2.901209082866419,,,
Vanlig granbarrust,gran,Lunner,04.06.2014,No,60.252778,10.667222,-2.1455128205128204,-2.1455128205128204,-2.1455128205128204,,,,,
Tyritoppsopp,furu,Dovre,02.08.2016,Yes,62.035,9.4675,1.2081406551059708,1.2081406551059708,1.2081406551059708,-2.433333333333336,4.942315270935968,76.75865384615385,,
Storm,"vier/pil, ukjent art",Balsfjord,09.07.2019,No,69.304722,19.203611,1.2984807864164452,1.2984807864164452,1.2984807864164452,,,,,
Almesjukesopp,alm,Bærum,16.07.1992,No,59.8904,10.526,6.918712328767128,6.918712328767128,6.918712328767128,3.686520547945208,10.8588493150685,69.96931506849315,,
Tyritoppsopp,berg-/buskfuru,Asker,13.07.1993,Yes,59.7,10.5,,,,-6.825,21.357142857142858,,,
Heggspinnmøll,hegg,Gjøvik,04.06.2024,No,60.7925,10.695,6.163164400494448,6.163164400494448,6.163164400494448,,,,,
Storm,furu,Arendal,26.08.2013,No,58.466667,8.766667,7.675253494107978,7.675253494107978,7.675253494107978,5.878758773550059,10.325157000369408,79.7095890410959,,
Honningsopper,gran,Lyngen,16.08.1977,Yes,69.690278,20.081667,,,,,,,,
Snø,rogn,Brønnøy,15.07.2020,No,65.475833,12.400278,6.726007125239806,6.726007125239806,6.726007125239806,4.0798177802319175,9.641827719491976,75.9841095890411,,
Honningsopper,gran,Målselv,25.09.1975,Yes,68.975,19.064444,,,,,,,,
Målere,dun-/vanlig bjørk,Tinn,08.06.2018,No,60.009167,8.559444,1.4146131805157611,1.4146131805157611,1.4146131805157611,-1.3748806112702956,4.709837631327607,73.81679389312977,,
"Skader i bark og vekstlag, Toppråtesopp",gran,Grue,10.05.1995,Yes,60.456389,12.058333,,,,,,,,
Heggspinnmøll,hegg,Lillehammer,28.05.2024,No,61.11464,10.46743,4.980016447368411,4.980016447368411,4.980016447368411,1.2531645569620242,9.197743533296643,75.03784969829951,,
Tyritoppsopp,furu,Melhus,22.07.1978,Yes,63.166667,10.3,,,,,,,,
